,genres,name,popularity,id
0,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano']",Brad Mehldau,55,2vI9KFm0fwSfPrpEgOeIbq
1,['alternative hip hop'],Gorillaz,82,3AA28KZvwAUcZuOKwyblJQ
2,"['contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",Kurt Rosenwinkel,41,253GMpCNwx1TJtASNAeDoP
3,"['electro', 'filter house']",Daft Punk,82,4tZwfgrHOc3mvqYlEYSvVi
4,"['contemporary jazz', 'jazz']",Walter Smith III,31,26XwWqwNq8FMgZEKqqdU9b
5,['bedroom soul'],cehryl,42,0bBrsS9ufPAmeFQgDNG54O
6,[],Immanuel Wilkins,37,5szMuuBbDzULkagWIfI5LG
7,"['contemporary jazz', 'jazz', 'jazz fusion', 'jazz guitar']",Julian Lage,48,2TSuAchdgVzsAa9wDK1IeT
8,"['contemporary jazz', 'jazz', 'jazz drums', 'straight-ahead jazz']",Ari Hoenig,39,1P6Llrp12ldpVbyC8gCHBz
9,"['neo mellow', 'pop rock', 'singer-songwriter']",John Mayer,82,0hEurMDQu99nJRq8pTxO14
10,"['contemporary jazz', 'jazz', 'jazz piano', 'modern jazz piano']",Tigran Hamasyan,45,0D3h8NZqNp7BN97JwtV6eW
11,"['contemporary jazz', 'ecm-style jazz', 'israeli jazz']",Shai Maestro,34,0ctjXj4AKsMtj6Tsm0JzSj
12,"['contemporary jazz', 'indie jazz', 'jazz', 'jazz trumpet']",Ambrose Akinmusire,37,4ai53dgSBGhQwcFtGyY1bF
13,"['contemporary jazz', 'cool jazz', 'jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio']",Brad Mehldau Trio,45,5sQJzc7ZGwC4olbhp2kqqX
14,[],Jacob Mann,28,6cM1vbrKTztN2uNjH8ub6F
15,"['contemporary jazz', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",Keith Jarrett,57,0F3Aew9DSd6fb6192K1K0Y
16,['neo mellow'],Jack Johnson,78,3GBPw9NK25X1Wt2OUvOwY3
17,"['avant-garde jazz', 'contemporary jazz', 'cool jazz', 'ecm-style jazz', 'free improvisation', 'free jazz', 'jazz', 'jazz piano']",Paul Bley,35,4HCwj3Nt6DTTmJCpHuQOeM
18,"['contemporary jazz', 'ecm-style jazz', 'indie jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano', 'swedish jazz']",Aaron Parks,42,22KzEvCtrTGf9l6k7zFcdv
19,"['adult standards', 'big band', 'cool jazz', 'harlem renaissance', 'jazz', 'jazz piano', 'lounge', 'stride', 'swing', 'vocal jazz']",Count Basie,65,2jFZlvIea42ZvcCw4OeEdA
20,"['contemporary jazz', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz trio']",Keith Jarrett Trio,51,3OJGG2blZ0c3YTOMSKZaHj
21,['social media pop'],Rare Americans,61,0e5Rda7VQAY786739xp0Jt
22,"['cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",Miles Davis,65,0kbYTNQb4Pb1rPbbaF0pT4
23,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']",Chet Baker,66,3rxeQlsv0Sc2nyYaZ5W71T
24,"['pop', 'r&b', 'rap']",SZA,87,7tYKF4w9nC0nq9CsPZTHyP
25,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,89,2YZyLoL8N0Wb9xBt1NhZWg
