feature,percentage
danceability,0.5587376000000001
energy,0.47923456000000003
loudness,-11.403584
speechiness,0.07179760000000002
acousticness,0.472856244
instrumentalness,0.33702456176000006
tempo,115.25804000000001
liveness,0.18411200000000003
valence,0.4339680000000001
