,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
34,0.311,0.203,7,-13.954,0,0.0307,0.92,0.719,0.0946,0.124,90.413,audio_features,6PJUrO2kqtDMdSqvKRFZ8L,spotify:track:6PJUrO2kqtDMdSqvKRFZ8L,https://api.spotify.com/v1/tracks/6PJUrO2kqtDMdSqvKRFZ8L,https://api.spotify.com/v1/audio-analysis/6PJUrO2kqtDMdSqvKRFZ8L,520907,3,Don't Be Sad
35,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987,4,One Dance
36,0.376,0.529,4,-9.18,0,0.0489,0.666,0.451,0.642,0.21,138.03,audio_features,3Bee1YGdGePDFMx8dpNrx6,spotify:track:3Bee1YGdGePDFMx8dpNrx6,https://api.spotify.com/v1/tracks/3Bee1YGdGePDFMx8dpNrx6,https://api.spotify.com/v1/audio-analysis/3Bee1YGdGePDFMx8dpNrx6,444773,4,Part 2. Saudade
37,0.873,0.7,8,-5.434,1,0.0457,0.613,1.86e-05,0.358,0.677,102.072,audio_features,0U5hVKPIrHwxtR5AtSD3pw,spotify:track:0U5hVKPIrHwxtR5AtSD3pw,https://api.spotify.com/v1/tracks/0U5hVKPIrHwxtR5AtSD3pw,https://api.spotify.com/v1/audio-analysis/0U5hVKPIrHwxtR5AtSD3pw,264706,4,FLY飛
38,0.448,0.84,5,-5.078,1,0.0334,0.00482,0.00833,0.281,0.579,99.952,audio_features,5UAWckrvg6TC2IO1Zvet2Z,spotify:track:5UAWckrvg6TC2IO1Zvet2Z,https://api.spotify.com/v1/tracks/5UAWckrvg6TC2IO1Zvet2Z,https://api.spotify.com/v1/audio-analysis/5UAWckrvg6TC2IO1Zvet2Z,181600,4,Pieces
39,0.553,0.652,0,-6.685,1,0.206,0.0897,0.0,0.111,0.551,94.505,audio_features,6YbhspuOar1D9WSSnfe7ds,spotify:track:6YbhspuOar1D9WSSnfe7ds,https://api.spotify.com/v1/tracks/6YbhspuOar1D9WSSnfe7ds,https://api.spotify.com/v1/audio-analysis/6YbhspuOar1D9WSSnfe7ds,207347,4,"Young, Wild & Free (feat. Bruno Mars)"
40,0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,audio_features,7ygpwy2qP3NbrxVkHvUhXY,spotify:track:7ygpwy2qP3NbrxVkHvUhXY,https://api.spotify.com/v1/tracks/7ygpwy2qP3NbrxVkHvUhXY,https://api.spotify.com/v1/audio-analysis/7ygpwy2qP3NbrxVkHvUhXY,258773,4,Wonderwall - Remastered
41,0.764,0.744,1,-2.34,1,0.181,0.0109,0.000122,0.318,0.511,88.426,audio_features,2XQY54Im8VrO4sd2tAmiv4,spotify:track:2XQY54Im8VrO4sd2tAmiv4,https://api.spotify.com/v1/tracks/2XQY54Im8VrO4sd2tAmiv4,https://api.spotify.com/v1/audio-analysis/2XQY54Im8VrO4sd2tAmiv4,262213,4,Welcome Back
42,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,audio_features,6SpLc7EXZIPpy0sVko0aoU,spotify:track:6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520,4,Misery Business
43,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,audio_features,2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/tracks/2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/audio-analysis/2grjqo0Frpf2okIBiifQKs,215093,4,September
44,0.595,0.506,4,-9.682,1,0.0388,0.0464,0.000138,0.107,0.346,141.981,audio_features,7IxVWmdabNVhfLBV3JD0nJ,spotify:track:7IxVWmdabNVhfLBV3JD0nJ,https://api.spotify.com/v1/tracks/7IxVWmdabNVhfLBV3JD0nJ,https://api.spotify.com/v1/audio-analysis/7IxVWmdabNVhfLBV3JD0nJ,217987,4,The Cave
45,0.421,0.858,1,-4.535,1,0.0963,0.0134,0.0,0.067,0.491,173.255,audio_features,10rChmECwPcvTTj4w07hq4,spotify:track:10rChmECwPcvTTj4w07hq4,https://api.spotify.com/v1/tracks/10rChmECwPcvTTj4w07hq4,https://api.spotify.com/v1/audio-analysis/10rChmECwPcvTTj4w07hq4,206773,4,Welcome to My Life
46,0.403,0.129,3,-22.438,0,0.0408,0.977,0.921,0.7,0.094,87.27,audio_features,1Y4xApbt4vSBiy0pLqWnL5,spotify:track:1Y4xApbt4vSBiy0pLqWnL5,https://api.spotify.com/v1/tracks/1Y4xApbt4vSBiy0pLqWnL5,https://api.spotify.com/v1/audio-analysis/1Y4xApbt4vSBiy0pLqWnL5,707107,4,Body and Soul - Live
47,0.61,0.389,9,-17.01,0,0.0543,0.849,0.901,0.692,0.621,90.141,audio_features,6d83pCGgsYX5e04z4Ej8VP,spotify:track:6d83pCGgsYX5e04z4Ej8VP,https://api.spotify.com/v1/tracks/6d83pCGgsYX5e04z4Ej8VP,https://api.spotify.com/v1/audio-analysis/6d83pCGgsYX5e04z4Ej8VP,524067,4,Wonderwall
48,0.36,0.447,7,-13.588,1,0.0284,0.57,0.888,0.121,0.0466,103.553,audio_features,1brI8oOZUBqPpDrzxaJye2,spotify:track:1brI8oOZUBqPpDrzxaJye2,https://api.spotify.com/v1/tracks/1brI8oOZUBqPpDrzxaJye2,https://api.spotify.com/v1/audio-analysis/1brI8oOZUBqPpDrzxaJye2,372413,4,Small Planet
49,0.464,0.539,5,-8.701,1,0.394,0.488,0.00022,0.063,0.473,173.661,audio_features,3YelntUJuFb94u4VDS4EPc,spotify:track:3YelntUJuFb94u4VDS4EPc,https://api.spotify.com/v1/tracks/3YelntUJuFb94u4VDS4EPc,https://api.spotify.com/v1/audio-analysis/3YelntUJuFb94u4VDS4EPc,189510,4,Yesterday
