,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
25,0.877,0.558,1,-4.896,1,0.342,0.066,0.0,0.0745,0.493,157.027,audio_features,1G5ho820Xi2Qu3HsBZ26ft,spotify:track:1G5ho820Xi2Qu3HsBZ26ft,https://api.spotify.com/v1/tracks/1G5ho820Xi2Qu3HsBZ26ft,https://api.spotify.com/v1/audio-analysis/1G5ho820Xi2Qu3HsBZ26ft,226533,4,Womp Womp
26,0.47,0.521,1,-11.326,1,0.0337,0.718,0.904,0.107,0.501,95.285,audio_features,2idujid77DAY4y92JuUjZd,spotify:track:2idujid77DAY4y92JuUjZd,https://api.spotify.com/v1/tracks/2idujid77DAY4y92JuUjZd,https://api.spotify.com/v1/audio-analysis/2idujid77DAY4y92JuUjZd,425587,4,>>>>The Catalyst
27,0.441,0.402,1,-15.42,1,0.0359,0.605,0.598,0.0938,0.46,108.291,audio_features,2Zbjeeha8nZ42Xo7F52KS5,spotify:track:2Zbjeeha8nZ42Xo7F52KS5,https://api.spotify.com/v1/tracks/2Zbjeeha8nZ42Xo7F52KS5,https://api.spotify.com/v1/audio-analysis/2Zbjeeha8nZ42Xo7F52KS5,534987,4,Beatrice
28,0.436,0.0993,0,-21.387,1,0.0416,0.774,0.687,0.0995,0.362,140.011,audio_features,58dzRgq4MhCNCbWfJ7sis1,spotify:track:58dzRgq4MhCNCbWfJ7sis1,https://api.spotify.com/v1/tracks/58dzRgq4MhCNCbWfJ7sis1,https://api.spotify.com/v1/audio-analysis/58dzRgq4MhCNCbWfJ7sis1,456067,4,Nobody Else but Me
29,0.255,0.208,10,-19.938,1,0.0396,0.973,0.905,0.0448,0.0557,74.411,audio_features,0XXRuVIZ6r5F3dgiqJEge9,spotify:track:0XXRuVIZ6r5F3dgiqJEge9,https://api.spotify.com/v1/tracks/0XXRuVIZ6r5F3dgiqJEge9,https://api.spotify.com/v1/audio-analysis/0XXRuVIZ6r5F3dgiqJEge9,786972,4,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale - alla breve"
30,0.505,0.438,9,-12.716,1,0.0592,0.738,0.695,0.391,0.553,97.296,audio_features,34kRMoR0hujOEaaINAN0gZ,spotify:track:34kRMoR0hujOEaaINAN0gZ,https://api.spotify.com/v1/tracks/34kRMoR0hujOEaaINAN0gZ,https://api.spotify.com/v1/audio-analysis/34kRMoR0hujOEaaINAN0gZ,175773,3,>>>>>>>>>>Windows
31,0.616,0.204,6,-11.421,0,0.0331,0.919,0.0,0.106,0.419,79.826,audio_features,68vX3NqqjR7LVbyBd2EHF7,spotify:track:68vX3NqqjR7LVbyBd2EHF7,https://api.spotify.com/v1/tracks/68vX3NqqjR7LVbyBd2EHF7,https://api.spotify.com/v1/audio-analysis/68vX3NqqjR7LVbyBd2EHF7,191000,4,Honesty
32,0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314,audio_features,7nGA1sRfLDWXYb3VPstnZf,spotify:track:7nGA1sRfLDWXYb3VPstnZf,https://api.spotify.com/v1/tracks/7nGA1sRfLDWXYb3VPstnZf,https://api.spotify.com/v1/audio-analysis/7nGA1sRfLDWXYb3VPstnZf,192420,4,Notturno for Strings and Harp
33,0.752,0.494,0,-8.18,1,0.0559,0.432,0.0,0.0869,0.227,117.901,audio_features,5TTXEcfsYLh6fTarLaevTi,spotify:track:5TTXEcfsYLh6fTarLaevTi,https://api.spotify.com/v1/tracks/5TTXEcfsYLh6fTarLaevTi,https://api.spotify.com/v1/audio-analysis/5TTXEcfsYLh6fTarLaevTi,171356,4,lowkey
34,0.393,0.509,7,-10.089,1,0.0813,0.704,0.661,0.108,0.535,205.892,audio_features,2kJ6hq30zffu6bRYsrQIPf,spotify:track:2kJ6hq30zffu6bRYsrQIPf,https://api.spotify.com/v1/tracks/2kJ6hq30zffu6bRYsrQIPf,https://api.spotify.com/v1/audio-analysis/2kJ6hq30zffu6bRYsrQIPf,276653,4,Nobody Else but Me
