,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
16,0.685,0.545,7,-6.189,1,0.061,0.173,1.44e-05,0.237,0.506,94.061,audio_features,25GlFJq5QNAXyVgJvCZ4Mf,spotify:track:25GlFJq5QNAXyVgJvCZ4Mf,https://api.spotify.com/v1/tracks/25GlFJq5QNAXyVgJvCZ4Mf,https://api.spotify.com/v1/audio-analysis/25GlFJq5QNAXyVgJvCZ4Mf,312360,4,Heart Don't Stand a Chance
17,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4,Save Your Tears (with Ariana Grande) (Remix)
18,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4,Stressed Out
19,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,audio_features,4pNiE4LCVV74vfIBaUHm1b,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760,4,Sir Duke
20,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,audio_features,6SpLc7EXZIPpy0sVko0aoU,spotify:track:6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520,4,Misery Business
21,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440,4,Zombie
22,0.178,0.0421,1,-17.529,1,0.0351,0.993,0.725,0.0917,0.114,49.303,audio_features,0TPz69Knk69ZE8yhil89CB,spotify:track:0TPz69Knk69ZE8yhil89CB,https://api.spotify.com/v1/tracks/0TPz69Knk69ZE8yhil89CB,https://api.spotify.com/v1/audio-analysis/0TPz69Knk69ZE8yhil89CB,139240,4,Part 1 - Opening
23,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,audio_features,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,229360,4,Despacito
24,0.56,0.419,4,-11.339,0,0.0303,0.873,0.888,0.105,0.716,97.23,audio_features,0ifLAGD45kMo6a1dDwSBv9,spotify:track:0ifLAGD45kMo6a1dDwSBv9,https://api.spotify.com/v1/tracks/0ifLAGD45kMo6a1dDwSBv9,https://api.spotify.com/v1/audio-analysis/0ifLAGD45kMo6a1dDwSBv9,329733,4,Mr. Hope
25,0.866,0.749,2,-3.977,1,0.253,0.15,0.0,0.0614,0.891,92.074,audio_features,0l3GEbH3CviUytD6iX4wzg,spotify:track:0l3GEbH3CviUytD6iX4wzg,https://api.spotify.com/v1/tracks/0l3GEbH3CviUytD6iX4wzg,https://api.spotify.com/v1/audio-analysis/0l3GEbH3CviUytD6iX4wzg,250747,4,Right Thurr
26,0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,audio_features,1DQIgIaD25KVCc4bRL0nWN,spotify:track:1DQIgIaD25KVCc4bRL0nWN,https://api.spotify.com/v1/tracks/1DQIgIaD25KVCc4bRL0nWN,https://api.spotify.com/v1/audio-analysis/1DQIgIaD25KVCc4bRL0nWN,235800,4,Lonely
27,0.38,0.195,0,-14.954,0,0.0391,0.935,0.368,0.699,0.199,148.564,audio_features,1JTnDzxOMZ4IC1Ji8U2kuQ,spotify:track:1JTnDzxOMZ4IC1Ji8U2kuQ,https://api.spotify.com/v1/tracks/1JTnDzxOMZ4IC1Ji8U2kuQ,https://api.spotify.com/v1/audio-analysis/1JTnDzxOMZ4IC1Ji8U2kuQ,777074,4,I'll Be Seeing You (Live)
28,0.331,0.422,7,-10.653,1,0.0311,0.692,0.729,0.107,0.105,79.951,audio_features,21jx7ZJ9bH0xQugaPa1wG0,spotify:track:21jx7ZJ9bH0xQugaPa1wG0,https://api.spotify.com/v1/tracks/21jx7ZJ9bH0xQugaPa1wG0,https://api.spotify.com/v1/audio-analysis/21jx7ZJ9bH0xQugaPa1wG0,355893,4,Nobody Loves Me Like You
29,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4,INDUSTRY BABY (feat. Jack Harlow)
30,0.364,0.467,2,-12.607,1,0.0686,0.612,0.889,0.379,0.288,77.418,audio_features,2a4gpCMcBhpBa2rCPmS5MA,spotify:track:2a4gpCMcBhpBa2rCPmS5MA,https://api.spotify.com/v1/tracks/2a4gpCMcBhpBa2rCPmS5MA,https://api.spotify.com/v1/audio-analysis/2a4gpCMcBhpBa2rCPmS5MA,352013,4,Part 3. Eulogy
31,0.24,0.822,2,-7.788,1,0.0778,0.0444,0.838,0.0719,0.373,94.853,audio_features,3AP3Rouy0x8DAr7T9aZgf6,spotify:track:3AP3Rouy0x8DAr7T9aZgf6,https://api.spotify.com/v1/tracks/3AP3Rouy0x8DAr7T9aZgf6,https://api.spotify.com/v1/audio-analysis/3AP3Rouy0x8DAr7T9aZgf6,276973,4,Spectra
